Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22defining_color%22%3A%7B%22eq%22%3A%221231%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Color,Yellow
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_silhouette%22%3A%7B%22eq%22%3A%2249%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Silhouette,A-Line
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_silhouette%22%3A%7B%22eq%22%3A%22243%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Silhouette,Ballgown
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_silhouette%22%3A%7B%22eq%22%3A%2289%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Silhouette,Mermaid/Trumpet
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_silhouette%22%3A%7B%22eq%22%3A%22138%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Silhouette,Sheath
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_silhouette%22%3A%7B%22eq%22%3A%22817%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Silhouette,Jumpsuit
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_silhouette%22%3A%7B%22eq%22%3A%221094%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Silhouette,Separates
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_length%22%3A%7B%22eq%22%3A%22374%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Length,High Low
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_length%22%3A%7B%22eq%22%3A%2287%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Length,Long
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_length%22%3A%7B%22eq%22%3A%221763%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Length,Midi
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_length%22%3A%7B%22eq%22%3A%228487%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Length,Mini
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.davidsbridal.com/api/graphql?query=query+getCategoryProducts%28%24pageSize%3AInt%21%24currentPage%3AInt%21%24filters%3AProductAttributeFilterInput%21%24sort%3AProductAttributeSortInput%29%7Bproducts%28pageSize%3A%24pageSize+currentPage%3A%24currentPage+filter%3A%24filters+sort%3A%24sort%29%7Bitems%7B__typename+id+...ProductDataFragment+price_range%7B...PriceRangeFragment+__typename%7Dvariant_index_data%7Bvariants%7B...VariantIndexData+__typename%7Dcount+__typename%7D...on+ConfigurableProduct%7Bis_guarantee_in_stock+__typename%7D%7Dpage_info%7Btotal_pages+__typename%7Dtotal_count+__typename%7D%7Dfragment+ProductDataFragment+on+ConfigurableProduct%7Bid+sku+uuid+name+full_url_path+facet_brand+facet_brand_value+facet_availability+facet_channel_availability+facet_subtype+descriptive_image+is_badge_coming_soon+is_pricing_final_sale+is_badge_sample_sale+is_badge_special_value+descriptive_department_id+__typename%7Dfragment+PriceRangeFragment+on+PriceRange%7Bminimum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7Dmaximum_price%7Bfinal_price%7Bcurrency+value+__typename%7Dregular_price%7Bcurrency+value+__typename%7Dmember_price%7Bcurrency+value+__typename%7D__typename%7D__typename%7Dfragment+VariantIndexData+on+VariantIndexItemDataV2%7Bcolor_id+hex_code+image+is_default+__typename%7D&operationName=getCategoryProducts&variables=%7B%22currentPage%22%3A1%2C%22filters%22%3A%7B%22facet_length%22%3A%7B%22eq%22%3A%2242%22%7D%2C%22category_id%22%3A%7B%22eq%22%3A%22312%22%7D%2C%22price%22%3A%7B%7D%7D%2C%22pageSize%22%3A10%2C%22sort%22%3A%7B%22position%22%3A%22ASC%22%7D%7D,Length,Short
